City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Talnakh,RU,69.4865,88.3972,7.21,93,100,16.82,overcast clouds
178,Faanui,PF,-16.4833,-151.75,80.8,76,10,16.44,clear sky
179,Cabo San Lucas,MX,22.8909,-109.9124,69.51,71,17,5.93,few clouds
180,Karratha,AU,-20.7377,116.8463,89.64,47,62,17.6,broken clouds
181,Leningradskiy,RU,69.3833,178.4167,-14.71,96,53,2.39,broken clouds
182,High Level,CA,58.5169,-117.136,10.24,96,100,8.59,overcast clouds
183,Bud,US,39.447,-86.1758,30.9,83,100,6.11,overcast clouds
184,Abnub,EG,27.2696,31.1511,42.87,71,4,4.85,clear sky
185,Sao Filipe,CV,14.8961,-24.4956,71.46,71,96,12.82,overcast clouds
186,Brooks,CA,50.5834,-111.8851,26.04,71,53,8.48,broken clouds
187,Kokopo,PG,-4.352,152.2633,83.55,75,59,12.08,light rain
188,Sioux Lookout,CA,50.1001,-91.917,-13.49,98,59,4.9,broken clouds
189,Bay City,US,43.5945,-83.8889,21.69,67,100,11.01,overcast clouds
190,Atbasar,KZ,51.8,68.3333,1.45,92,100,5.64,overcast clouds
191,Road Town,VG,18.4167,-64.6167,75.99,72,28,14.34,scattered clouds
192,Makat,KZ,47.6469,53.3463,26.49,90,100,6.35,overcast clouds
193,Kulhudhuffushi,MV,6.6221,73.07,79.32,70,62,14.07,broken clouds
194,Dharchula,IN,29.85,80.5333,50.95,29,0,0.69,clear sky
195,Kenai,US,60.5544,-151.2583,29.14,89,100,6.91,light snow
196,Lompoc,US,34.6391,-120.4579,56.79,68,0,0.0,clear sky
197,Ulaangom,MN,49.9811,92.0667,-12.96,95,84,1.61,broken clouds
198,San Carlos De Bariloche,AR,-41.1456,-71.3082,64.15,55,0,6.91,clear sky
199,Tongzi,CN,28.7829,105.0877,42.04,90,100,6.29,overcast clouds
200,Zhangye,CN,38.9342,100.4517,30.52,21,74,4.56,broken clouds
201,Brigham City,US,41.5102,-112.0155,30.0,64,0,7.0,clear sky
202,Kilakarai,IN,9.2333,78.7833,81.79,59,7,13.2,clear sky
203,Bauchi,NG,10.5,10.0,55.44,41,0,4.05,clear sky
204,Husavik,IS,66.0449,-17.3389,34.05,75,100,17.67,overcast clouds
205,Jamsa,FI,61.8642,25.19,31.14,96,100,6.55,overcast clouds
206,Athens,GR,37.9795,23.7162,41.38,70,0,3.0,clear sky
207,Barcelos,PT,41.5388,-8.6151,49.68,60,0,7.23,clear sky
208,Berdigestyakh,RU,62.0989,126.6992,-7.65,95,100,5.3,overcast clouds
209,Waipawa,NZ,-41.4122,175.5153,64.92,50,18,7.29,few clouds
210,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,68.9,66,96,10.51,overcast clouds
211,Buraydah,SA,26.326,43.975,45.12,43,25,7.29,scattered clouds
212,Sakaiminato,JP,35.55,133.2333,44.94,68,47,9.46,scattered clouds
213,Hanzhong,CN,33.0728,107.0303,37.6,93,100,0.92,overcast clouds
214,Deer Lake,CA,49.1667,-57.4316,-5.17,98,45,2.95,scattered clouds
215,Kamenka,RU,51.3223,42.7678,5.07,99,99,3.11,overcast clouds
216,Kilindoni,TZ,-7.9139,39.6668,79.54,75,100,9.73,overcast clouds
217,Lewisporte,CA,49.2499,-55.0482,6.55,87,6,5.75,clear sky
218,Necochea,AR,-38.5473,-58.7368,50.04,76,0,6.69,clear sky
219,Canico,PT,32.6333,-16.85,57.7,85,40,4.61,scattered clouds
220,Sambava,MG,-14.2667,50.1667,75.94,78,31,7.43,scattered clouds
221,Sapa,PH,5.1544,120.3241,84.15,71,91,5.84,overcast clouds
222,Jacareacanga,BR,-6.2222,-57.7528,71.67,99,91,0.94,overcast clouds
223,Bandrele,YT,-12.9067,45.1914,78.55,83,0,4.61,light rain
224,Vaxjo,SE,56.8777,14.8091,36.57,87,40,13.8,scattered clouds
225,Dinguiraye,GN,11.3,-10.7167,69.75,20,32,3.02,scattered clouds
226,Port Blair,IN,11.6667,92.75,86.04,66,75,5.75,broken clouds
227,Ures,MX,29.4333,-110.4,61.7,22,49,2.48,scattered clouds
228,Hithadhoo,MV,-0.6,73.0833,81.75,64,94,14.27,overcast clouds
229,Maraba,BR,-5.3686,-49.1178,73.58,100,75,2.3,broken clouds
230,Alakurtti,RU,66.9672,30.3491,3.7,100,92,1.59,overcast clouds
231,Moulins,FR,46.5,3.3333,31.51,86,100,1.34,overcast clouds
232,Mora,CM,11.0461,14.1401,60.19,39,51,4.9,broken clouds
233,Acari,PE,-15.4311,-74.6158,72.43,71,73,2.98,broken clouds
234,Norrtalje,SE,59.758,18.705,34.23,94,100,14.63,light snow
235,Dwarka,IN,22.2394,68.9678,67.77,46,0,13.4,clear sky
236,Nikolskoye,RU,59.7035,30.7861,30.87,96,100,7.18,snow
237,Avera,US,33.194,-82.5271,38.71,50,67,5.37,broken clouds
238,Danilovka,RU,50.3557,44.1168,15.93,97,96,3.83,overcast clouds
239,Lagoa,PT,39.05,-27.9833,58.82,70,43,17.96,scattered clouds
240,Arlit,NE,18.7369,7.3853,56.97,28,1,8.19,clear sky
241,Mackay,AU,-21.15,149.2,83.68,69,100,17.63,overcast clouds
242,Verkhnetulomskiy,RU,68.6073,31.7962,15.93,97,100,1.41,overcast clouds
243,New Norfolk,AU,-42.7826,147.0587,83.91,41,39,3.0,scattered clouds
244,Oriximina,BR,-1.7656,-55.8661,73.02,95,69,2.1,broken clouds
245,Athabasca,CA,54.7169,-113.2854,10.6,96,48,2.42,scattered clouds
246,Constantine,DZ,36.365,6.6147,33.21,86,0,2.3,clear sky
247,Port Elizabeth,ZA,-33.918,25.5701,65.1,81,5,12.84,clear sky
248,Saint-Philippe,RE,-21.3585,55.7679,78.39,82,53,8.21,light rain
249,Thompson,CA,55.7435,-97.8558,-5.64,71,40,9.22,scattered clouds
250,Balikpapan,ID,-1.2675,116.8289,81.59,89,40,6.91,scattered clouds
251,Tobol,KZ,52.6844,62.5794,6.78,97,100,4.45,overcast clouds
252,Turbo,CO,8.0937,-76.7269,76.93,91,81,7.99,broken clouds
253,Somerset West,ZA,-34.084,18.8211,65.03,80,16,5.01,few clouds
254,Umm Lajj,SA,25.0213,37.2685,59.05,36,68,18.05,broken clouds
255,Maningrida,AU,-12.0667,134.2667,87.37,66,100,13.56,overcast clouds
256,Aykhal,RU,66.0,111.5,-14.49,99,27,4.16,scattered clouds
257,Bilma,NE,18.6853,12.9164,52.83,24,4,8.68,clear sky
258,Carnarvon,AU,-24.8667,113.6333,86.07,62,0,13.8,clear sky
259,Sorong,ID,-0.8833,131.25,85.14,66,38,4.07,scattered clouds
260,Yulara,AU,-25.2406,130.9889,85.44,46,100,13.4,overcast clouds
261,Bonthe,SL,7.5264,-12.505,77.04,85,72,5.99,light rain
262,Fairbanks,US,64.8378,-147.7164,-6.39,76,75,0.0,broken clouds
263,Blagoyevo,RU,63.3667,47.9167,6.69,95,97,6.55,overcast clouds
264,Russell,US,32.3502,-85.1999,47.43,80,0,0.0,clear sky
265,Gigmoto,PH,13.7796,124.39,83.59,71,57,7.94,broken clouds
266,Leh,IN,34.1667,77.5833,-6.07,64,5,2.82,clear sky
267,Oranjemund,NA,-28.55,16.4333,63.91,86,89,17.34,overcast clouds
268,San Rafael,AR,-34.6177,-68.3301,72.05,55,90,5.46,overcast clouds
269,Cubarral,CO,3.7935,-73.8406,76.41,62,100,5.01,overcast clouds
270,Rincon,US,32.296,-81.2354,45.86,45,40,8.05,scattered clouds
271,Crotone,IT,39.0851,17.1178,47.71,68,42,2.66,scattered clouds
272,Ternovka,RU,51.678,41.6375,-4.09,100,100,4.63,overcast clouds
